0 [1.00e+00, 1.00e+00, 1.00e+00]
600 [4.04e-01, 1.18e+00, 5.29e-01]
1200 [2.98e-01, 1.58e+00, 3.09e-01]
1800 [3.67e-01, 2.15e+00, 1.92e-01]
2400 [4.00e-01, 2.84e+00, 1.54e-01]
3000 [4.30e-01, 3.53e+00, 1.43e-01]
3600 [4.64e-01, 4.20e+00, 1.38e-01]
4200 [4.92e-01, 4.86e+00, 1.29e-01]
4800 [5.11e-01, 5.52e+00, 1.23e-01]
5400 [5.34e-01, 6.18e+00, 1.20e-01]
6000 [5.60e-01, 6.83e+00, 1.19e-01]
6600 [5.89e-01, 7.48e+00, 1.23e-01]
7200 [6.24e-01, 8.15e+00, 1.33e-01]
7800 [6.68e-01, 8.85e+00, 1.63e-01]
8400 [1.44e+00, 9.88e+00, 1.10e+00]
9000 [2.55e+00, 1.07e+01, 1.83e+00]
9600 [3.41e+00, 1.14e+01, 2.27e+00]
10200 [4.12e+00, 1.19e+01, 2.56e+00]
10800 [4.72e+00, 1.24e+01, 2.72e+00]
11400 [5.25e+00, 1.28e+01, 2.79e+00]
12000 [5.73e+00, 1.32e+01, 2.80e+00]
12600 [6.17e+00, 1.36e+01, 2.78e+00]
13200 [6.57e+00, 1.39e+01, 2.75e+00]
13800 [6.96e+00, 1.42e+01, 2.72e+00]
14400 [7.33e+00, 1.45e+01, 2.70e+00]
15000 [7.70e+00, 1.47e+01, 2.68e+00]
15600 [8.05e+00, 1.48e+01, 2.67e+00]
16200 [8.38e+00, 1.49e+01, 2.67e+00]
16800 [8.67e+00, 1.49e+01, 2.67e+00]
17400 [8.92e+00, 1.49e+01, 2.68e+00]
18000 [9.15e+00, 1.49e+01, 2.68e+00]
18600 [9.35e+00, 1.49e+01, 2.68e+00]
19200 [9.50e+00, 1.49e+01, 2.68e+00]
19800 [9.60e+00, 1.50e+01, 2.68e+00]
20400 [9.68e+00, 1.49e+01, 2.68e+00]
21000 [9.73e+00, 1.49e+01, 2.68e+00]
21600 [9.78e+00, 1.49e+01, 2.67e+00]
22200 [9.80e+00, 1.50e+01, 2.67e+00]
22800 [9.82e+00, 1.50e+01, 2.67e+00]
23400 [9.84e+00, 1.50e+01, 2.66e+00]
24000 [9.87e+00, 1.50e+01, 2.66e+00]
24600 [9.89e+00, 1.50e+01, 2.66e+00]
25200 [9.90e+00, 1.50e+01, 2.66e+00]
25800 [9.91e+00, 1.50e+01, 2.66e+00]
26400 [9.92e+00, 1.50e+01, 2.66e+00]
27000 [9.93e+00, 1.50e+01, 2.66e+00]
27600 [9.94e+00, 1.50e+01, 2.67e+00]
28200 [9.95e+00, 1.50e+01, 2.67e+00]
28800 [9.96e+00, 1.50e+01, 2.67e+00]
29400 [9.97e+00, 1.50e+01, 2.67e+00]
30000 [9.98e+00, 1.50e+01, 2.67e+00]
30600 [9.98e+00, 1.50e+01, 2.67e+00]
31200 [9.99e+00, 1.50e+01, 2.67e+00]
31800 [9.99e+00, 1.50e+01, 2.67e+00]
32400 [9.99e+00, 1.50e+01, 2.67e+00]
33000 [9.99e+00, 1.50e+01, 2.67e+00]
33600 [1.00e+01, 1.50e+01, 2.67e+00]
34200 [1.00e+01, 1.50e+01, 2.67e+00]
34800 [1.00e+01, 1.50e+01, 2.67e+00]
35400 [1.00e+01, 1.50e+01, 2.67e+00]
36000 [1.00e+01, 1.50e+01, 2.67e+00]
36600 [1.00e+01, 1.50e+01, 2.67e+00]
37200 [1.00e+01, 1.50e+01, 2.67e+00]
37800 [1.00e+01, 1.50e+01, 2.67e+00]
38400 [1.00e+01, 1.50e+01, 2.67e+00]
39000 [1.00e+01, 1.50e+01, 2.67e+00]
39600 [1.00e+01, 1.50e+01, 2.67e+00]
40200 [1.00e+01, 1.50e+01, 2.67e+00]
40800 [1.00e+01, 1.50e+01, 2.67e+00]
41400 [1.00e+01, 1.50e+01, 2.67e+00]
42000 [1.00e+01, 1.50e+01, 2.67e+00]
42600 [1.00e+01, 1.50e+01, 2.67e+00]
43200 [1.00e+01, 1.50e+01, 2.67e+00]
43800 [1.00e+01, 1.50e+01, 2.67e+00]
44400 [1.00e+01, 1.50e+01, 2.67e+00]
45000 [1.00e+01, 1.50e+01, 2.67e+00]
45600 [1.00e+01, 1.50e+01, 2.67e+00]
46200 [1.00e+01, 1.50e+01, 2.67e+00]
46800 [1.00e+01, 1.50e+01, 2.67e+00]
47400 [1.00e+01, 1.50e+01, 2.67e+00]
48000 [1.00e+01, 1.50e+01, 2.67e+00]
48600 [1.00e+01, 1.50e+01, 2.67e+00]
49200 [1.00e+01, 1.50e+01, 2.67e+00]
49800 [1.00e+01, 1.50e+01, 2.67e+00]
50400 [1.00e+01, 1.50e+01, 2.67e+00]
51000 [1.00e+01, 1.50e+01, 2.67e+00]
51600 [1.00e+01, 1.50e+01, 2.67e+00]
52200 [1.00e+01, 1.50e+01, 2.67e+00]
52800 [1.00e+01, 1.50e+01, 2.67e+00]
53400 [1.00e+01, 1.50e+01, 2.67e+00]
54000 [1.00e+01, 1.50e+01, 2.67e+00]
54600 [1.00e+01, 1.50e+01, 2.67e+00]
55200 [1.00e+01, 1.50e+01, 2.67e+00]
55800 [1.00e+01, 1.50e+01, 2.67e+00]
56400 [1.00e+01, 1.50e+01, 2.67e+00]
57000 [1.00e+01, 1.50e+01, 2.67e+00]
57600 [1.00e+01, 1.50e+01, 2.67e+00]
58200 [1.00e+01, 1.50e+01, 2.67e+00]
58800 [1.00e+01, 1.50e+01, 2.67e+00]
59400 [1.00e+01, 1.50e+01, 2.67e+00]
60000 [1.00e+01, 1.50e+01, 2.67e+00]
